State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Missouri,2060,0.727,217.81,34.0,0.0536,0.0001,0.0085,9.1,0.1185,0.0582,0.0,1.8231,2.0084,2.2106,2.5129,2.9174
Montana,2022,0.714,3441.32,38.0,0.0645,0.0001,0.0022,7.5,2.1304,1.0458,0.0,2.451,5.6296,5.8315,6.1333,6.5371
Montana,2030,0.714,357.9,35.2,0.0604,0.0001,0.0022,7.5,0.2052,0.1008,0.0,2.127,2.4353,2.6372,2.939,3.3428
Montana,2040,0.714,255.8,34.37,0.0553,0.0001,0.0022,7.5,0.1432,0.0703,0.0,1.9018,2.1177,2.3196,2.6214,3.0252
Montana,2050,0.714,235.75,34.0,0.0502,0.0001,0.0022,7.5,0.1306,0.0641,0.0,1.7082,1.9052,2.1071,2.409,2.8127
Montana,2060,0.714,217.26,34.0,0.0451,0.0001,0.0022,7.5,0.1203,0.0591,0.0,1.5351,1.7168,1.9187,2.2206,2.6243
Nebraska,2022,0.789,3444.79,38.0,0.079,0.0004,0.0036,8.4,1.9279,0.9464,0.0,3.002,5.8804,6.0825,6.3846,6.7888
Nebraska,2030,0.789,358.26,35.2,0.074,0.0004,0.0036,8.4,0.1857,0.0912,0.0,2.6052,2.8861,3.0882,3.3903,3.7946
Nebraska,2040,0.789,256.06,34.37,0.0678,0.0004,0.0036,8.4,0.1296,0.0636,0.0,2.3294,2.5267,2.7288,3.0309,3.4351
Nebraska,2050,0.789,235.98,34.0,0.0615,0.0004,0.0036,8.4,0.1182,0.058,0.0,2.0923,2.2725,2.4746,2.7767,3.1809
Nebraska,2060,0.789,217.48,34.0,0.0553,0.0004,0.0036,8.4,0.1089,0.0535,0.0,1.8802,2.0466,2.2487,2.5508,2.955
Nevada,2022,0.762,3402.53,38.0,0.0704,0.001,0.003,7.8,1.9738,0.9689,0.0,2.6752,5.6218,5.8238,6.1258,6.5297
Nevada,2030,0.762,353.86,35.2,0.066,0.001,0.003,7.8,0.1901,0.0933,0.0,2.3216,2.609,2.811,3.1129,3.5168
Nevada,2040,0.762,252.92,34.37,0.0604,0.001,0.003,7.8,0.1327,0.0651,0.0,2.0758,2.2776,2.4795,2.7815,3.1854
Nevada,2050,0.762,233.09,34.0,0.0548,0.001,0.003,7.8,0.121,0.0594,0.0,1.8645,2.0488,2.2508,2.5527,2.9566
Nevada,2060,0.762,214.81,34.0,0.0493,0.001,0.003,7.8,0.1115,0.0547,0.0,1.6755,1.8457,2.0476,2.3496,2.7535
New Hampshire,2022,0.631,3466.56,38.0,0.1606,0.0003,0.001,9.5,2.4285,1.1922,0.0,6.1028,9.7248,9.9272,10.2295,10.6343
New Hampshire,2030,0.631,360.52,35.2,0.1505,0.0003,0.001,9.5,0.234,0.1149,0.0,5.2961,5.6462,5.8486,6.1509,6.5557
New Hampshire,2040,0.631,257.68,34.37,0.1378,0.0003,0.001,9.5,0.1633,0.0802,0.0,4.7354,4.9802,5.1826,5.4849,5.8896
New Hampshire,2050,0.631,237.48,34.0,0.1251,0.0003,0.001,9.5,0.1489,0.0731,0.0,4.2534,4.4766,4.679,4.9814,5.3861
New Hampshire,2060,0.631,218.86,34.0,0.1124,0.0003,0.001,9.5,0.1372,0.0673,0.0,3.8223,4.0281,4.2305,4.5329,4.9376
New Jersey,2022,0.685,3445.36,38.0,0.1301,0.0004,0.007,9.7,2.2233,1.0914,0.0,4.9438,8.266,8.4685,8.7709,9.1757
New Jersey,2030,0.685,358.32,35.2,0.1219,0.0004,0.007,9.7,0.2142,0.1051,0.0,4.2903,4.6171,4.8195,5.1219,5.5268
New Jersey,2040,0.685,256.1,34.37,0.1116,0.0004,0.007,9.7,0.1495,0.0734,0.0,3.8361,4.0664,4.2689,4.5713,4.9761
New Jersey,2050,0.685,236.02,34.0,0.1013,0.0004,0.007,9.7,0.1363,0.0669,0.0,3.4456,3.6562,3.8587,4.1611,4.5659
New Jersey,2060,0.685,217.52,34.0,0.0911,0.0004,0.007,9.7,0.1256,0.0617,0.0,3.0964,3.2911,3.4935,3.7959,4.2008
New Mexico,2022,0.828,3340.65,38.0,0.0642,0.0013,0.0034,8.8,1.7834,0.8755,0.0,2.4396,5.1033,5.3055,5.6077,6.012
New Mexico,2030,0.828,347.43,35.2,0.0601,0.0013,0.0034,8.8,0.1718,0.0843,0.0,2.1171,2.378,2.5802,2.8824,3.2868
New Mexico,2040,0.828,248.32,34.37,0.0551,0.0013,0.0034,8.8,0.1199,0.0589,0.0,1.893,2.0765,2.2787,2.5809,2.9853
New Mexico,2050,0.828,228.85,34.0,0.05,0.0013,0.0034,8.8,0.1093,0.0537,0.0,1.7003,1.868,2.0702,2.3724,2.7768
New Mexico,2060,0.828,210.91,34.0,0.0449,0.0013,0.0034,8.8,0.1007,0.0495,0.0,1.528,1.6829,1.8851,2.1873,2.5917
New York,2022,0.659,3089.74,38.0,0.0892,0.0001,0.0122,9.4,2.0723,1.0173,0.0,3.3896,6.4915,6.6938,6.9962,7.4008
New York,2030,0.659,321.33,35.2,0.0836,0.0001,0.0122,9.4,0.1996,0.098,0.0,2.9415,3.2514,3.4538,3.7561,4.1608
New York,2040,0.659,229.67,34.37,0.0765,0.0001,0.0122,9.4,0.1393,0.0684,0.0,2.6301,2.8501,3.0525,3.3548,3.7595
New York,2050,0.659,211.66,34.0,0.0695,0.0001,0.0122,9.4,0.127,0.0624,0.0,2.3624,2.564,2.7664,3.0687,3.4734
New York,2060,0.659,195.07,34.0,0.0624,0.0001,0.0122,9.4,0.1171,0.0575,0.0,2.123,2.3098,2.5121,2.8144,3.2191
North Carolina,2022,0.702,3446.65,38.0,0.076,0.0001,0.0087,9.9,2.1677,1.0641,0.0,2.888,6.1287,6.3311,6.6336,7.0386
North Carolina,2030,0.702,358.45,35.2,0.0712,0.0001,0.0087,9.9,0.2088,0.1025,0.0,2.5062,2.8264,3.0289,3.3313,3.7363
North Carolina,2040,0.702,256.2,34.37,0.0652,0.0001,0.0087,9.9,0.1457,0.0715,0.0,2.2409,2.467,2.6695,2.972,3.3769
North Carolina,2050,0.702,236.11,34.0,0.0592,0.0001,0.0087,9.9,0.1329,0.0652,0.0,2.0128,2.2197,2.4222,2.7247,3.1296
North Carolina,2060,0.702,217.6,34.0,0.0532,0.0001,0.0087,9.9,0.1225,0.0601,0.0,1.8088,2.0002,2.2026,2.5051,2.9101
North Dakota,2022,0.738,3468.51,38.0,0.0758,0.0008,0.0042,7.9,2.0752,1.0187,0.0,2.8804,5.9793,6.1813,6.4833,6.8872
North Dakota,2030,0.738,360.72,35.2,0.071,0.0008,0.0042,7.9,0.1999,0.0981,0.0,2.4996,2.8027,3.0047,3.3066,3.7106
North Dakota,2040,0.738,257.82,34.37,0.065,0.0008,0.0042,7.9,0.1395,0.0685,0.0,2.235,2.4481,2.65,2.952,3.3559
North Dakota,2050,0.738,237.61,34.0,0.059,0.0008,0.0042,7.9,0.1272,0.0624,0.0,2.0075,2.2022,2.4041,2.7061,3.11
North Dakota,2060,0.738,218.98,34.0,0.0531,0.0008,0.0042,7.9,0.1172,0.0575,0.0,1.804,1.9838,2.1858,2.4878,2.8917
Ohio,2022,0.691,3081.43,38.0,0.079,0.0001,0.0146,9.3,1.9704,0.9673,0.0,3.002,5.9544,6.1567,6.459,6.8637
Ohio,2030,0.691,320.47,35.2,0.074,0.0001,0.0146,9.3,0.1898,0.0932,0.0,2.6052,2.9029,3.1052,3.4075,3.8121
Ohio,2040,0.691,229.05,34.37,0.0678,0.0001,0.0146,9.3,0.1325,0.065,0.0,2.3294,2.5416,2.7439,3.0462,3.4509
Ohio,2050,0.691,211.09,34.0,0.0615,0.0001,0.0146,9.3,0.1208,0.0593,0.0,2.0923,2.287,2.4893,2.7916,3.1963
Ohio,2060,0.691,194.54,34.0,0.0553,0.0001,0.0146,9.3,0.1113,0.0546,0.0,1.8802,2.0608,2.2631,2.5655,2.9701
Oklahoma,2022,0.798,3398.95,38.0,0.0551,0.0001,0.0067,9.1,1.883,0.9244,0.0,2.0938,4.9081,5.1103,5.4126,5.8171
Oklahoma,2030,0.798,353.49,35.2,0.0516,0.0001,0.0067,9.1,0.1814,0.0891,0.0,1.817,2.0943,2.2966,2.5988,3.0034
Oklahoma,2040,0.798,252.65,34.37,0.0473,0.0001,0.0067,9.1,0.1266,0.0621,0.0,1.6247,1.8202,2.0225,2.3248,2.7293
Oklahoma,2050,0.798,232.84,34.0,0.0429,0.0001,0.0067,9.1,0.1154,0.0567,0.0,1.4593,1.6382,1.8404,2.1427,2.5473
Oklahoma,2060,0.798,214.59,34.0,0.0386,0.0001,0.0067,9.1,0.1064,0.0522,0.0,1.3114,1.4768,1.6791,1.9813,2.3859
