State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
Kentucky,2022,0.677,1163.02,55.0,0.0693,0.0001,0.0083,9.5,1.0979,0.539,0.0,3.8115,5.4568,5.9615,5.9615,5.9615
Kentucky,2030,0.677,197.71,47.0,0.0649,0.0001,0.0083,9.5,0.1595,0.0783,0.0,3.0514,3.2976,3.8023,3.8023,3.8023
Kentucky,2040,0.677,162.09,45.17,0.0595,0.0001,0.0083,9.5,0.1257,0.0617,0.0,2.6856,2.8813,3.3861,3.3861,3.3861
Kentucky,2050,0.677,149.39,44.25,0.054,0.0001,0.0083,9.5,0.1135,0.0557,0.0,2.3888,2.5663,3.0711,3.0711,3.0711
Kentucky,2060,0.677,137.67,43.33,0.0485,0.0001,0.0083,9.5,0.1024,0.0503,0.0,2.102,2.2631,2.7678,2.7678,2.7678
Louisiana,2022,0.733,1226.32,55.0,0.0689,0.0001,0.0143,9.8,1.0694,0.525,0.0,3.7895,5.3982,5.9031,5.9031,5.9031
Louisiana,2030,0.733,208.47,47.0,0.0645,0.0001,0.0143,9.8,0.1554,0.0763,0.0,3.0338,3.2797,3.7846,3.7846,3.7846
Louisiana,2040,0.733,170.92,45.17,0.0591,0.0001,0.0143,9.8,0.1224,0.0601,0.0,2.6701,2.8669,3.3718,3.3718,3.3718
Louisiana,2050,0.733,157.52,44.25,0.0537,0.0001,0.0143,9.8,0.1105,0.0543,0.0,2.375,2.5541,3.059,3.059,3.059
Louisiana,2060,0.733,145.17,43.33,0.0482,0.0001,0.0143,9.8,0.0997,0.049,0.0,2.0899,2.2529,2.7578,2.7578,2.7578
Maine,2022,0.644,1387.88,55.0,0.14,0.0001,0.0011,9.4,1.3775,0.6762,0.0,7.7,9.7549,10.2596,10.2596,10.2596
Maine,2030,0.644,235.94,47.0,0.1312,0.0001,0.0011,9.4,0.2001,0.0982,0.0,6.1644,6.4639,6.9686,6.9686,6.9686
Maine,2040,0.644,193.43,45.17,0.1201,0.0001,0.0011,9.4,0.1577,0.0774,0.0,5.4254,5.6617,6.1664,6.1664,6.1664
Maine,2050,0.644,178.27,44.25,0.1091,0.0001,0.0011,9.4,0.1424,0.0699,0.0,4.8258,5.0392,5.5439,5.5439,5.5439
Maine,2060,0.644,164.29,43.33,0.098,0.0001,0.0011,9.4,0.1285,0.0631,0.0,4.2465,4.4392,4.9439,4.9439,4.9439
Maryland,2022,0.699,1233.85,55.0,0.1061,0.0003,0.004,9.7,1.1283,0.5539,0.0,5.8355,7.522,8.0269,8.0269,8.0269
Maryland,2030,0.699,209.75,47.0,0.0994,0.0003,0.004,9.7,0.1639,0.0805,0.0,4.6718,4.9204,5.4253,5.4253,5.4253
Maryland,2040,0.699,171.97,45.17,0.091,0.0003,0.004,9.7,0.1292,0.0634,0.0,4.1117,4.3085,4.8134,4.8134,4.8134
Maryland,2050,0.699,158.48,44.25,0.0826,0.0003,0.004,9.7,0.1166,0.0572,0.0,3.6573,3.8354,4.3402,4.3402,4.3402
Maryland,2060,0.699,146.06,43.33,0.0743,0.0003,0.004,9.7,0.1052,0.0517,0.0,3.2183,3.3794,3.8843,3.8843,3.8843
Massachusetts,2022,0.684,1379.52,55.0,0.1895,0.0003,0.0044,9.6,1.2895,0.633,0.0,10.4225,12.3498,12.8546,12.8546,12.8546
Massachusetts,2030,0.684,234.52,47.0,0.1775,0.0003,0.0044,9.6,0.1873,0.092,0.0,8.344,8.628,9.1328,9.1328,9.1328
Massachusetts,2040,0.684,192.27,45.17,0.1626,0.0003,0.0044,9.6,0.1476,0.0725,0.0,7.3437,7.5684,8.0732,8.0732,8.0732
Massachusetts,2050,0.684,177.19,44.25,0.1476,0.0003,0.0044,9.6,0.1333,0.0654,0.0,6.5321,6.7355,7.2403,7.2403,7.2403
Massachusetts,2060,0.684,163.3,43.33,0.1326,0.0003,0.0044,9.6,0.1203,0.059,0.0,5.748,5.932,6.4368,6.4368,6.4368
Michigan,2022,0.699,1305.02,55.0,0.0853,0.0001,0.0113,8.7,1.1941,0.5862,0.0,4.6915,6.4831,6.9875,6.9875,6.9875
Michigan,2030,0.699,221.85,47.0,0.0799,0.0001,0.0113,8.7,0.1735,0.0852,0.0,3.7559,4.0259,4.5303,4.5303,4.5303
Michigan,2040,0.699,181.89,45.17,0.0732,0.0001,0.0113,8.7,0.1367,0.0671,0.0,3.3056,3.5208,4.0251,4.0251,4.0251
Michigan,2050,0.699,167.63,44.25,0.0664,0.0001,0.0113,8.7,0.1234,0.0606,0.0,2.9403,3.1356,3.64,3.64,3.64
Michigan,2060,0.699,154.48,43.33,0.0597,0.0001,0.0113,8.7,0.1114,0.0547,0.0,2.5874,2.7648,3.2691,3.2691,3.2691
Minnesota,2022,0.7,1245.11,55.0,0.0837,0.0001,0.0064,8.2,1.1368,0.5581,0.0,4.6035,6.3048,6.8089,6.8089,6.8089
Minnesota,2030,0.7,211.67,47.0,0.0784,0.0001,0.0064,8.2,0.1651,0.0811,0.0,3.6854,3.9381,4.4422,4.4422,4.4422
Minnesota,2040,0.7,173.54,45.17,0.0718,0.0001,0.0064,8.2,0.1301,0.0639,0.0,3.2436,3.4441,3.9482,3.9482,3.9482
Minnesota,2050,0.7,159.93,44.25,0.0652,0.0001,0.0064,8.2,0.1175,0.0577,0.0,2.8851,3.0668,3.5709,3.5709,3.5709
Minnesota,2060,0.7,147.39,43.33,0.0586,0.0001,0.0064,8.2,0.106,0.052,0.0,2.5388,2.7034,3.2075,3.2075,3.2075
Mississippi,2022,0.706,1377.74,55.0,0.0739,0.0001,0.0048,9.7,1.2486,0.6129,0.0,4.0645,5.9308,6.4357,6.4357,6.4357
Mississippi,2030,0.706,234.22,47.0,0.0692,0.0001,0.0048,9.7,0.1814,0.089,0.0,3.2539,3.5292,4.0341,4.0341,4.0341
Mississippi,2040,0.706,192.02,45.17,0.0634,0.0001,0.0048,9.7,0.1429,0.0702,0.0,2.8638,3.0817,3.5866,3.5866,3.5866
Mississippi,2050,0.706,176.97,44.25,0.0576,0.0001,0.0048,9.7,0.129,0.0633,0.0,2.5473,2.7445,3.2494,3.2494,3.2494
Mississippi,2060,0.706,163.09,43.33,0.0517,0.0001,0.0048,9.7,0.1164,0.0572,0.0,2.2416,2.42,2.9249,2.9249,2.9249
Missouri,2022,0.727,1379.98,55.0,0.0766,0.0001,0.0085,9.1,1.2146,0.5962,0.0,4.213,6.0324,6.537,6.537,6.537
Missouri,2030,0.727,234.6,47.0,0.0718,0.0001,0.0085,9.1,0.1764,0.0866,0.0,3.3728,3.6445,4.149,4.149,4.149
