State,Year,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
West Virginia,2060,2.2139,2.7187,2.7187,2.7187
Wisconsin,2022,6.4733,6.9776,6.9776,6.9776
Wisconsin,2030,3.0602,3.5645,3.5645,3.5645
Wisconsin,2040,2.6743,3.1786,3.1786,3.1786
Wisconsin,2050,2.4058,2.9101,2.9101,2.9101
Wisconsin,2060,2.1673,2.6716,2.6716,2.6716
Wyoming,2022,6.1166,6.6205,6.6205,6.6205
Wyoming,2030,3.0764,3.5803,3.5803,3.5803
Wyoming,2040,2.6965,3.2004,3.2004,3.2004
Wyoming,2050,2.425,2.929,2.929,2.929
Wyoming,2060,2.1838,2.6877,2.6877,2.6877
